attendee_id,first_name,last_name,email,age,project_id,checked_in?,school,level_of_study,major,shirt_size
58,Brown,Lavon,53753@university.edu,19,,0,Case Western Reserve University,University (Undergraduate),Computer Engineering,Unisex - M
59,Weissnat,Sharon,19298@university.edu,19,,0,Case Western Reserve University,University (Undergraduate),Electrical Engineering,Unisex - L
60,Lockman,Rashawn,22962@whatever.edu,21,,1,Case Western Reserve University,University (Undergraduate),Computer Science,Unisex - M
61,Purdy,Favian,64348@whatever.edu,23,28,1,The University of Chicago,University (Undergraduate),Computer Science,Unisex - M
62,Leuschke,Marco,70746@college.edu,22,,1,Case Western Reserve University,University (Undergraduate),Civil Engineering,Unisex - S
63,O'Hara,Trevion,64036@college.edu,23,9,1,Case Western Reserve University,University (Master's / Doctoral),Computer Engineering,Women's - XS
64,Sauer,Raymond,61666@college.edu,19,,0,Case Western Reserve University,University (Undergraduate),Computer Science,Unisex - M
65,Mueller,Elsie,80369@university.edu,22,,0,Case Western Reserve University,University (Undergraduate),Electrical Engineering,Unisex - M
66,Volkman,Lacey,90025@college.edu,19,,0,Case Western Reserve University,University (Undergraduate),Computer Science,Unisex - L
67,Hermiston,Elnora,76035@college.edu,19,,1,Case Western Reserve University,University (Undergraduate),Computer Engineering,Unisex - M
68,Stokes,Bradford,38338@college.edu,20,29,1,Ohio University,University (Undergraduate),Computer Science,Women's - M
69,Yundt,Celia,35970@university.edu,19,25,1,Case Western Reserve University,University (Undergraduate),Electrical Engineering,Women's - M
70,Jacobson PhD,Sabryna,22132@college.edu,19,32,1,Case Western Reserve University,University (Undergraduate),Electrical Engineering/Computer Science,Unisex - M
71,Turcotte,Yolanda,51561@university.edu,18,,1,Case Western Reserve University,University (Undergraduate),Computer Science,Unisex - M
72,Wuckert,Rubie,98031@university.edu,19,,1,Case Western Reserve University,University (Undergraduate),Computer Science,Unisex - M
73,Upton,Quentin,77188@college.edu,21,,0,The University of Wisconsin,University (Undergraduate),Computer Science and Engineering,Unisex - XXL
74,West,Caitlyn,37599@university.edu,19,,0,Michigan Technological University,University (Undergraduate),Computer Engineering,Unisex - M
75,Williamson,Jaycee,55958@whatever.edu,24,32,0,Penn State University,University (Undergraduate),Computer Science,Unisex - L
76,Miller,Camren,46613@college.edu,20,,1,The University of Michigan,University (Undergraduate),Computer Information Systems,Women's - S
77,Schmitt,Michale,55808@whatever.edu,20,,0,Case Western Reserve University,University (Undergraduate),Computer Science,Unisex - M
78,Schoen,Mervin,39583@university.edu,21,6,1,Case Western Reserve University,University (Undergraduate),Computer Science,Unisex - L
79,Guaann,Cullen,23694@whatever.edu,19,,0,Case Western Reserve University,University (Undergraduate),Computer Science,Unisex - L
80,Stokes,Pearlie,94616@whatever.edu,19,25,0,Case Western Reserve University,University (Undergraduate),Computer Science,Unisex - L
81,Dibbert,Alden,18268@whatever.edu,21,,1,Case Western Reserve University,University (Master's / Doctoral),Computer Science,Unisex - L
82,Collins,Vito,20905@university.edu,20,,0,Case Western Reserve University,University (Undergraduate),Computer Science,Unisex - L
83,Langosh,Kaela,26821@whatever.edu,20,,1,Case Western Reserve University,University (Undergraduate),Computer Science,Unisex - L
84,Herzog,Colt,93034@whatever.edu,20,,0,Case Western Reserve University,University (Undergraduate),Data Science,Unisex - S
85,DuBuque,Tyshawn,64726@university.edu,20,,1,Case Western Reserve University,University (Undergraduate),Computer Science,Unisex - M
86,Stroman,Elody,73312@university.edu,19,27,0,Case Western Reserve University,University (Undergraduate),Computer Science,Unisex - L
87,Kertzmann,Dino,95134@college.edu,23,,1,Case Western Reserve University,University (Master's / Doctoral),Computer Engineering,Women's - S
88,Schaefer,Maye,74780@college.edu,20,4,0,Case Western Reserve University,University (Undergraduate),"Computer Science, Data Science & Analytics",Women's - S
89,O'Reilly,Einar,81549@college.edu,19,,0,Case Western Reserve University,University (Undergraduate),Computer Science,Unisex - M
90,Haley,Rosario,38930@college.edu,19,4,1,Case Western Reserve University,University (Undergraduate),Computer Science,Unisex - M
91,Bruen,Autumn,25239@college.edu,18,,1,Case Western Reserve University,University (Undergraduate),Computer Science,Unisex - S
92,Koch,Henri,12949@college.edu,20,,0,Oberlin College,University (Undergraduate),Computer Science,Unisex - M
93,McCullough,Madeline,30399@university.edu,25,,0,Universiry of Michigan ,University (Master's / Doctoral),Computer Science,Unisex - M
94,Wiegand,Diego,67381@whatever.edu,20,25,1,University of New Mexico,Junior,Computer Science,Unisex - L
95,Rutherford,Fanny,35875@whatever.edu,20,3,1,Ohio State University,University (Undergraduate),Robotics Engineering,Unisex - L
96,Toy,Garry,71797@college.edu,20,,0,University of Kentucky,University (Undergraduate),Computer Science,Unisex - L
97,D'Amore,Conor,31819@college.edu,18,,0,University of Indiana,University (Undergraduate),Graphic Design,Women's - S
98,Blanda,Grace,61184@university.edu,19,,1,The University of Chicago,University (Undergraduate),Computer Engineering,Unisex - M
99,Moen,Alexandro,37625@college.edu,19,2,1,Ohio State University,University (Undergraduate),Computer Science,Unisex - M
100,Haley,Anya,69215@university.edu,30,,1,Penn State University,Vocational / Code School,General Studies,Unisex - M
101,Purdy,Jennie,93652@college.edu,19,,1,Case Western Reserve University,University (Undergraduate),Computer Science,Unisex - M
102,Beahan,Cullen,27043@university.edu,23,,0,Case Western Reserve University,University (Master's / Doctoral),Computer Science,Women's - S
103,Kreiger,Kasandra,59328@university.edu,19,,0,Ohio State University,University (Undergraduate),Computer Science,Unisex - L
104,Huels,Verdie,38686@whatever.edu,20,9,0,Case Western Reserve University,University (Undergraduate),Computer Science,Unisex - M
105,Nitzsche,Eleazar,88213@whatever.edu,23,,1,Case Western Reserve University,University (Master's / Doctoral),Computer Science,Unisex - M
106,Greenfelder,Lucio,40698@college.edu,20,,1,Case Western Reserve University,University (Undergraduate),Accounting,Unisex - L
107,Zboncak,Kaelyn,55001@university.edu,27,,1,Case Western Reserve University,University (Master's / Doctoral),Electrical Engineering,Women's - S
108,Lehner,Domingo,28044@college.edu,19,,1,Case Western Reserve University,University (Undergraduate),Computer Science,Unisex - M
109,Herzog,Marjorie,35268@college.edu,20,,1,The University of Cincinatti,University (Undergraduate),Computer Science and Engineering,Unisex - M
110,Medhurst,Ruthie,43007@whatever.edu,20,,1,Case Western Reserve University,University (Undergraduate),Biomedical Engineering,Unisex - S
111,Bernier,Kaitlin,76474@college.edu,29,,0,Case Western Reserve University,Not Currently a Student,,Unisex - M
112,Klein,Brandon,28943@college.edu,26,,0,Purdue University,University (Master's / Doctoral),Computer Science,Women's - M
113,Walter,Adah,79873@whatever.edu,20,30,0,Case Western Reserve University,University (Undergraduate),Computer Science,Unisex - L
114,Roob,Tracy,34482@whatever.edu,23,,1,Case Western Reserve University,University (Master's / Doctoral),Computer Science,Unisex - M
115,Bahringer,Nicklaus,96738@university.edu,20,,0,Case Western Reserve University,University (Undergraduate),Electrical Engineering,Women's - S
116,Dicki,Ryley,68742@college.edu,21,,1,The University of Pennsylvania,University (Undergraduate),Computer Science and Engineering,Unisex - M
117,Cartwright,Hosea,96672@university.edu,19,,0,Case Western Reserve University,University (Undergraduate),Biomedical Engineering,Unisex - M
118,Jerde,Faustino,19825@college.edu,21,,0,Case Western Reserve University,University (Undergraduate),Computer Science,Unisex - M
119,Ondricka,Katlyn,72464@college.edu,20,3,1,Case Western Reserve University,University (Undergraduate),Computer Science,Unisex - L
120,Dooley,Estel,34407@university.edu,24,15,0,Case Western Reserve University,University (Undergraduate),Computer Science,Unisex - XXL
121,Blanda,Mervin,73017@college.edu,21,,1,Case Western Reserve University,University (Undergraduate),Computer Science and Economics,Unisex - L
122,Fahey,Darius,95884@university.edu,20,,0,Case Western Reserve University,University (Undergraduate),Computer Science,Unisex - S
123,Hane,Liliane,37088@whatever.edu,18,9,1,Case Western Reserve University,University (Undergraduate),Computer Science,Women's - L
124,Auer,Nicolette,70820@whatever.edu,19,,0,Case Western Reserve University,University (Undergraduate),Computer Science,Unisex - M
125,Hegmann,Grant,33558@university.edu,20,,1,Case Western Reserve University,University (Undergraduate),Applied Mathematics,Women's - M
126,Becker,Sim,47791@whatever.edu,22,,0,other,3,other,Unisex - M
127,Herman,Emie,98454@university.edu,17,31,0,Central High School,High School / Secondary School,Computer Science,Unisex - M
128,Lakin,Jarrell,47908@college.edu,17,31,1,Central High School,High School / Secondary School,,Unisex - L
129,Volkman DVM,Dedric,91532@whatever.edu,18,,1,Case Western Reserve University,University (Undergraduate),Computer Engineering,Unisex - L
130,McClure,Tremaine,63695@whatever.edu,21,,0,Case Western Reserve University,University (Undergraduate),Computer Science,Unisex - S
131,Beahan,Georgiana,63279@college.edu,36,,0,Case Western Reserve University,University (Master's / Doctoral),Urology,Unisex - XXL
132,Kshlerin,Deontae,54502@college.edu,20,,1,Case Western Reserve University,University (Undergraduate),Aerospace Engineering,Unisex - L
133,Hansen,Junior,39824@university.edu,19,,1,Case Western Reserve University,University (Undergraduate),Biomedical Engineering,Unisex - M
134,Bauch,Alvena,40906@college.edu,24,,0,Case Western Reserve University,University (Master's / Doctoral),Computer Science,Women's - M
135,Bauch,Bobby,78436@university.edu,21,,0,Case Western Reserve University,University (Undergraduate),Mechanical Engineering,Unisex - L
136,Schmidt,Blanche,83436@college.edu,19,22,1,Case Western Reserve University,University (Undergraduate),Computer Science,Women's - L
137,Medhurst,Gerard,44447@university.edu,28,,1,Case Western Reserve University,University (Master's / Doctoral),Computer Science,Women's - M
138,Collier,Lance,15462@whatever.edu,22,8,1,Case Western Reserve University,University (Undergraduate),Electrical Engineering,Women's - S
139,Medhurst,Woodrow,19170@university.edu,19,,1,Case Western Reserve University,University (Undergraduate),Computer Science,Unisex - M
140,Davis,Corine,36494@whatever.edu,23,,0,Case Western Reserve University,University (Master's / Doctoral),Computer Science,Unisex - M
141,White,Brooks,45956@university.edu,19,,0,Case Western Reserve University,University (Undergraduate),Biomedical Engineering,Unisex - M
142,Stracke,Marshall,73529@whatever.edu,20,,0,Case Western Reserve University,University (Undergraduate),Computer Science,Unisex - XXL
143,Mueller,Kassandra,78609@college.edu,19,,1,Case Western Reserve University,University (Undergraduate),Computer Science,Unisex - XS
144,Walker,Cathrine,37888@whatever.edu,19,,1,Case Western Reserve University,University (Undergraduate),Electrical Engineering,Women's - S
145,Quitzon,Bryana,66160@college.edu,21,,1,Case Western Reserve University,University (Undergraduate),Computer Science,Unisex - L
146,Kreiger,Myrna,43624@college.edu,18,,1,Case Western Reserve University,University (Undergraduate),Computer Science,Unisex - L
147,Prohaska,Schuyler,86259@university.edu,19,,1,Case Western Reserve University,University (Undergraduate),Computer Science,Unisex - M
148,Wiegand,Gregorio,64218@whatever.edu,19,,1,Case Western Reserve University,University (Undergraduate),Electrical Engineering,Unisex - M
149,Harber PhD,Autumn,79421@university.edu,18,14,0,Case Western Reserve University,University (Undergraduate),Computer Science,Women's - M
150,Hamill,Alicia,60316@college.edu,23,,0,Case Western Reserve University,University (Master's / Doctoral),Computer Science,Women's - S
151,Batz,Faye,49924@university.edu,18,,0,Case Western Reserve University,University (Undergraduate),Computer Science,Women's - S
152,Kreiger,Kimberly,34892@whatever.edu,19,,1,Case Western Reserve University,University (Undergraduate),Computer Science,Unisex - L
153,Bosco,Riley,48613@whatever.edu,21,8,0,Case Western Reserve University,University (Undergraduate),Computer Science,Unisex - L
154,Goodwin,Jamal,36395@college.edu,20,,1,Case Western Reserve University,University (Undergraduate),Mechanical Engineering,Unisex - M
155,Vandervort,Pierre,32543@whatever.edu,20,29,0,Case Western Reserve University,University (Undergraduate),Computer Science,Unisex - XL
156,Johnston,Dewayne,64270@college.edu,18,24,0,Case Western Reserve University,University (Undergraduate),Computer Engineering,Unisex - M
157,Nienow,Charity,21989@whatever.edu,19,,1,Case Western Reserve University,University (Undergraduate),Mechanical Engineering,Unisex - S
158,Fisher,Kathryn,98744@college.edu,19,,0,Case Western Reserve University,University (Undergraduate),Mechanical Engineering,Unisex - XL
159,Daniel,Felicity,36663@university.edu,21,,1,Purdue University,University (Undergraduate),Computer Science and Economics,Unisex - S
160,Kozey,Reymundo,16633@whatever.edu,22,,0,Case Western Reserve University,University (Undergraduate),Biochemistry,Unisex - M
161,Jewess,Mustafa,83489@whatever.edu,18,,1,Case Western Reserve University,University (Undergraduate),Computer Science,Unisex - S
162,Schultz,Kaelyn,70110@college.edu,21,,0,Purdue University,University (Undergraduate),Political Science and applied programming,Unisex - M
163,Lowe,Ciara,80827@whatever.edu,21,,1,Case Western Reserve University,University (Undergraduate),Computer Science,Unisex - S
164,Thiel,Benton,60371@whatever.edu,22,1,0,The University of Toledo,University (Undergraduate),Computer Science,Unisex - XL
165,Hegmann,Kenton,10515@university.edu,21,26,0,Case Western Reserve University,University (Undergraduate),Electrical Engineering,Unisex - M
166,Schaden,Giovanna,89281@whatever.edu,18,,1,Case Western Reserve University,University (Undergraduate),Computer Science,Unisex - S
167,Hammes,Aubrey,88123@whatever.edu,21,,1,Oberlin College,University (Undergraduate),Computer Science and Mathematics,Unisex - M
168,Grady,Gabriel,55241@university.edu,20,,0,Oberlin College,University (Undergraduate),Computer Science,Unisex - M
169,O'Kon,Jalen,51382@whatever.edu,19,32,0,University of Toledo,University (Undergraduate),Computer Science,Unisex - S
170,Corwin,Vance,92057@college.edu,20,4,1,Case Western Reserve University,University (Undergraduate),Computer Science,Unisex - M
171,Wuckert,Dorian,94182@university.edu,20,23,1,Case Western Reserve University,University (Undergraduate),Biochemistry,Unisex - M
172,Schmitt,Tina,42491@whatever.edu,22,,0,Case Western Reserve University,University (Master's / Doctoral),Electrical Engineering,Unisex - M
173,Gusikowski,Korbin,61791@college.edu,19,,0,Case Western Reserve University,University (Undergraduate),Computer Science,Unisex - XS
174,Rippin,Everette,54162@whatever.edu,20,29,1,Case Western Reserve University,University (Undergraduate),Electrical Engineering,Women's - XS
175,Hoppe,Anna,38240@whatever.edu,19,17,1,Ohio State University,University (Undergraduate),Computer Science,Women's - XS
176,Runolfsson,Chloe,12263@whatever.edu,18,,1,Highland High School,High School / Secondary School,,Unisex - L
177,Marvin,Harley,69074@college.edu,18,,1,Case Western Reserve University,University (Undergraduate),Computer Science,Unisex - L
178,Stroman,Chanelle,93000@university.edu,20,,0,Ohio State University,University (Undergraduate),Data Science,Unisex - S
179,Hand,Alfonzo,73032@university.edu,18,25,0,Case Western Reserve University,University (Undergraduate),Physics,Unisex - M
180,Rice,Maryam,87853@university.edu,18,14,0,Case Western Reserve University,University (Undergraduate),Computer Science,Unisex - S
181,Runolfsson,Trever,68895@whatever.edu,21,,1,Case Western Reserve University,University (Undergraduate),Electrical Engineering,Unisex - L
182,Aufderhar,Frederic,19182@university.edu,18,,1,The University of Toledo,University (Undergraduate),Computer Engineering,Unisex - M
183,Schinner,Laurine,63110@college.edu,20,,1,Case Western Reserve University,University (Undergraduate),Electrical Engineering,Unisex - M
184,Stehr,Sadye,99376@university.edu,18,,1,Case Western Reserve University,University (Undergraduate),Computer Science,Unisex - L
185,Stamm,Nova,60717@college.edu,19,,1,Case Western Reserve University,University (Undergraduate),Computer Science,Unisex - M
186,Fadel,Asa,79462@university.edu,19,,1,Case Western Reserve University,University (Undergraduate),Computer Science,Unisex - M
187,Miller,Nella,13058@university.edu,18,,0,Case Western Reserve University,University (Undergraduate),Computer Engineering,Unisex - M
188,Vandervort,Louisa,83049@university.edu,20,,0,Case Western Reserve University,University (Undergraduate),Electrical Engineering,Women's - S
189,Schowalter,Hope,92001@university.edu,25,6,0,Case Western Reserve University,University (Master's / Doctoral),Physics,Unisex - M
190,Stokes,Berniece,88178@college.edu,23,,1,Case Western Reserve University,High School / Secondary School,Finance,Women's - S
191,Jerde,Sadye,57758@whatever.edu,21,,0,The University of Michigan,University (Undergraduate),Computer Science,Unisex - XXL
192,Wehner,Rafaela,93307@college.edu,27,,1,Case Western Reserve University,University (Master's / Doctoral),Finance,Women's - XS
193,Ondricka,Hudson,91869@college.edu,19,,0,Connecticut College,University (Undergraduate),Computer Science and Economics,Women's - M
194,Hand,Annetta,93416@college.edu,25,15,0,Ohio State University,University (Undergraduate),Computer Information Systems,Unisex - M
195,Schoen,Barry,42681@university.edu,28,,1,Case Western Reserve University ,University (Master's / Doctoral),Software Engineering,Women's - L
196,Langosh,King,38854@university.edu,24,20,0,Case Western Reserve University,University (Master's / Doctoral),Nutrition ,Unisex - M
197,Gislason,Raymundo,28491@university.edu,22,16,1,Case Western Reserve University,University (Master's / Doctoral),Social Work,Women's - M
198,Goyette,Alford,70616@university.edu,18,18,0,Case Western Reserve University,University (Undergraduate),Biomedical Engineering,Women's - M
199,Frami,Gilberto,74104@college.edu,21,15,1,The University of Pittsburgh,University (Undergraduate),Computer Engineering,Unisex - S
200,Prosacco,Asia,43947@whatever.edu,23,,0,Michigan State University,University (Undergraduate),Computer Science,Unisex - L
201,Wuckert,Ola,15003@university.edu,18,,1,Case Western Reserve University,University (Undergraduate),Computer Science,Women's - S
202,Maggio,Pierce,22340@whatever.edu,21,,0,Case Western Reserve University,University (Undergraduate),Computer Science,Unisex - L
203,Wiza,Wanda,87009@university.edu,23,,0,The University of Pittsburgh,University (Undergraduate),Computer Science and Engineering,Unisex - S
204,Haley,Lisandro,27653@whatever.edu,21,,1,Case Western Reserve University,University (Undergraduate),Computer Engineering,Unisex - XXL
205,O'Conner,Treva,88325@university.edu,20,,1,Case Western Reserve University,University (Undergraduate),Biomedical Engineering,Unisex - L
206,Breitenberg,Andy,38815@whatever.edu,19,,0,Case Western Reserve University,University (Undergraduate),Computer Science,Unisex - L
207,Wolff,Nat,74251@college.edu,22,23,0,The University of Akron,University (Undergraduate),Computer Engineering,Unisex - XL
208,Cummerata,Mathias,23331@college.edu,20,,1,Case Western Reserve University,University (Undergraduate),Mechanical Engineering,Women's - M
209,Heidenreich,Myles,28703@college.edu,23,,1,Case Western Reserve University,University (Master's / Doctoral),Law School ,Unisex - XS
210,Jakubowski,Brendan,22105@college.edu,22,,0,Case Western Reserve University,University (Master's / Doctoral),Finance,Women's - L
211,Bergnaum,Ralph,41045@university.edu,22,,0,Case Western Reserve University,University (Master's / Doctoral),MBA,Unisex - XL
212,Strosin,Jasmin,21665@university.edu,22,15,1,The University of Michigan,Not Currently a Student,Biochemistry,Women's - M
213,Grady,Royce,11933@college.edu,24,,1,The University of Pittsburgh,University (Undergraduate),Software Engineering,Unisex - M
214,Goldner,Jamar,39167@university.edu,23,,1,Youngstown State University,University (Master's / Doctoral),Computer Science,Unisex - M
215,Nicolas,Xavier,78340@college.edu,21,,1,Case Western Reserve University,University (Undergraduate),Mathematics,Women's - S
216,Rice,Columbus,34397@university.edu,20,,0,Ohio University,University (Undergraduate),Statistics,Unisex - M
217,Oberbrunner,Rashad,42622@university.edu,21,,0,The University of Pittsburgh,University (Undergraduate),Electrical Engineering and Computer Science and Engineering,Women's - M
218,Rempel,Torrey,81547@college.edu,19,,0,Case Western Reserve University,University (Undergraduate),Computer Science,Unisex - M
219,Runte,Brandi,95735@college.edu,19,25,1,Case Western Reserve University,University (Undergraduate),Computer Science,Unisex - L
220,Keebler,Godfrey,39162@whatever.edu,20,,1,Case Western Reserve University,University (Undergraduate),Biomedical Engineering,Unisex - M
221,Purdy,Simone,13428@university.edu,21,,1,The University of Pittsburgh,University (Undergraduate),Electrical Engineering,Unisex - L
222,Barton,Alisha,89877@whatever.edu,22,,1,The University of Maryland,University (Undergraduate),Engineering Physics,Unisex - M
223,Ledner,Diana,62325@college.edu,18,,1,The University of Pittsburgh,University (Undergraduate),Computer Science,Unisex - L
224,Skiles,Hector,38398@college.edu,20,,1,Case Western Reserve University,University (Undergraduate),Computer Science,Unisex - L
225,Gerlach,Joshuah,49231@college.edu,22,,0,Case Western Reserve University,University (Undergraduate),Computer Science,Unisex - L
226,Marvin,Heidi,80543@university.edu,21,,0,Case Western Reserve University,University (Undergraduate),Statistics,Women's - S
227,Rice,Kasey,91563@college.edu,19,,0,Case Western Reserve University,University (Undergraduate),Computer Science,Unisex - S
228,Wisoky,Audreanne,59746@university.edu,23,22,1,Case Western Reserve University,University (Undergraduate),Cognitive Science and Psychology,Women's - L
229,Gerlach,Raymundo,63610@whatever.edu,19,2,0,The University of Cincinatti,University (Undergraduate),Computer Science and Engineering,Women's - S
230,Fritsch,Luis,59463@whatever.edu,18,,1,The University of Cincinatti,University (Undergraduate),Computer Engineering,Women's - M
231,Smith,Clinton,37530@university.edu,20,,0,Youngstown State University,University (Undergraduate),Computer Science and Engineering,Unisex - XXL
232,Funk,Holden,97994@university.edu,18,,0,The University of Chicago,University (Undergraduate),Computer Science and Engineering,Unisex - L
233,Bradtke,Javier,63980@university.edu,19,,1,Penn State University,University (Undergraduate),Computer Science Engineering ,Unisex - L
234,Leannon,Kade,23267@whatever.edu,21,22,0,Case Western Reserve University,University (Undergraduate),Mechanical Engineering,Unisex - M
235,Quitzon,Brice,19214@whatever.edu,20,,1,Purdue University,University (Undergraduate),Computer Science and Engineering,Unisex - XS
236,Kshlerin,Laury,50169@university.edu,19,,0,University of toledo,University (Undergraduate),Computer Science,Unisex - M
